Car_id,Car_brand,Car_model,Damage_report_date,User_id,Rental_id,Repair_cost,Description
1,Renault,Zoe,2022-02-18 19:54:11,1,1,4799.8,Especially hard idea agree structure.
3,Renault,Arkana,2023-12-25 13:39:16,1,38,7302.66,Return so report resource.
2,Renault,Zoe,2023-06-06 23:07:55,2,16,9476.72,Me put threat home surface.
3,Renault,Arkana,2022-12-09 10:05:52,1,35,5357.22,Explain either wish couple thus defense.
1,Renault,Zoe,2022-08-03 01:45:07,2,4,2475.86,However agent really each.
3,Renault,Arkana,2022-01-13 14:55:47,1,34,6922.02,Glass eight son.
3,Renault,Arkana,2022-06-26 00:43:44,1,39,6603.78,Country politics deep song.
1,Renault,Zoe,2022-02-18 21:07:22,1,1,351.11,Play entire head bring think yourself free spring.
2,Renault,Zoe,2022-10-02 15:37:51,2,15,2972.86,Hundred vote hotel ago.
2,Renault,Zoe,2023-09-25 02:59:04,2,19,5098.54,Forward size different like.
